0

//Type		Monster		X	Y	Count
0		534		197	41	9
0		535		197	47	9
0		536		202	56	9
0		537		208	60	9
0		538		219	74	9
0		539		220	80	9
0		534		220	87	9
0		535		222	94	9
//Boss
1		529		204	55	1
1		530		219	72	1
//Ice Walker Boss
1		531		220	81	1
//Larva
6		532		204	56	3
7		532		219	73	3
8		532		220	83	3
//Treasure Box
2		541		203	56	1
2		541		204	55	1
3		541		219	72	1
3		541		218	74	1
4		541		220	81	1
4		541		220	84	1
5		542		225	101	1
end

1

//Type		Monster		X	Y	Count
0		534		137	86	6
0		535		137	93	6
0		536		137	102	6
0		537		133	109	6
0		538		132	115	6
0		539		129	120	6
0		534		129	120	6
0		535		123	127	6
0		536		119	133	6
0		537		116	140	6
0		538		114	151	6
0		539		113	163	6
0		534		113	170	6
//Boss
1		529		113	161	1
1		530		113	146	1
//Ice Walker Boss
1		531		113	155	1
//Larva
6		532		113	162	3
7		532		113	147	3
8		532		113	157	3
//Treasure Box
2		541		113	161	1
2		541		113	164	1
3		541		113	146	1
3		541		114	149	1
4		541		113	155	1
4		541		113	158	1
5		542		114	180	1
end

2

//Type		Monster		X	Y	Count
0		534		109	72	8
0		535		109	80	8
0		536		110	88	8
0		537		109	80	8
0		538		110	96	8
0		539		109	104	8
0		534		109	112	8
0		535		109	118	8
0		536		109	126	8
0		537		109	134	8
0		538		110	141	8
//Boss
1		529		109	105	1
1		530		109	120	1
//Ice Walker Boss
1		531		109	137	1
//Larva
6		532		109	107	3
7		532		109	122	3
8		532		109	139	3
//Treasure Box
2		541		109	105	1
2		541		109	108	1
3		541		109	120	1
3		541		109	124	1
4		541		109	137	1
4		541		109	140	1
5		542		110	150	1
end

3

//Type		Monster		X	Y	Count
0		534		94	30	7
0		535		94	37	7
0		536		94	45	7
0		537		92	51	7
0		538		82	52	7
0		539		74	52	7
0		538		74	52	7
0		537		66	53	7
0		536		62	60	7
0		535		61	68	7
0		534		55	76	7
0		535		46	84	7
0		536		42	91	7
0		537		42	98	7
//Boss
1		529		57	73	1
1		530		49	82	1
//Ice Walker Boss
1		531		42	96	1
//Larva
6		532		56	74	3
7		532		48	82	3
8		532		43	94	3
//Treasure Box
2		541		57	73	1
2		541		56	76	1
3		541		49	82	1
3		541		47	83	1
4		541		42	96	1
4		541		42	93	1
5		542		43	109	1
end
